GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shop,com.example.shop.order,OrderRepository,0,34,0,0,0,6,0,5,0,5
shop,com.example.shop.order,Order,0,55,0,0,0,14,0,7,0,7
shop,com.example.shop.cart,Cart,6,61,0,0,2,14,2,6,2,6
shop,com.example.shop.cart,CartService,21,253,5,19,4,50,5,17,0,10
shop,com.example.shop.cart,CartLine,5,46,1,1,1,12,1,6,0,6
shop,com.example.shop.pricing,TaxCalculator,0,44,0,2,0,8,0,3,0,2
shop,com.example.shop.pricing,PriceCalculator,7,177,1,9,1,32,1,7,0,3
shop,com.example.shop.pricing,PriceBreakdown,0,40,0,0,0,14,0,7,0,7
shop,com.example.shop.pricing,ShippingCalculator,0,88,1,7,0,17,1,5,0,2
shop,com.example.shop.user,Address,0,48,0,0,0,12,0,6,0,6
shop,com.example.shop.user,User,0,30,0,0,0,8,0,4,0,4
shop,com.example.shop.payment,PaymentStatus,0,21,0,0,0,4,0,1,0,1
shop,com.example.shop.payment,FakePaymentGateway,0,30,0,4,0,9,0,4,0,2
shop,com.example.shop.payment,PaymentResult,0,45,0,0,0,11,0,7,0,7
shop,com.example.shop.checkout,CheckoutResult,3,18,0,0,1,5,1,2,1,2
shop,com.example.shop.checkout,CheckoutService,0,158,0,4,0,29,0,11,0,9
shop,com.example.shop.checkout,CheckoutRequest,6,24,0,0,2,6,2,2,2,2
shop,com.example.shop.util,Money,1,159,1,13,0,25,1,19,0,13
shop,com.example.shop.util,FixedClock,0,15,0,0,0,6,0,3,0,3
shop,com.example.shop.util,SequentialIdGenerator,0,18,0,0,0,5,0,2,0,2
shop,com.example.shop.catalog,TaxCode,0,27,0,0,0,5,0,1,0,1
shop,com.example.shop.catalog,InventoryService,12,165,4,12,2,32,4,10,0,6
shop,com.example.shop.catalog,Product,6,54,0,0,2,14,2,6,2,6
shop,com.example.shop.promo,CouponValidator,0,64,0,2,0,9,0,5,0,4
shop,com.example.shop.promo,Promotion.Builder,10,69,0,0,2,16,2,10,2,10
shop,com.example.shop.promo,PromotionType,0,33,0,0,0,6,0,1,0,1
shop,com.example.shop.promo,PromoEngine,15,372,8,40,1,66,9,29,1,11
shop,com.example.shop.promo,PromotionOutcome,0,25,0,0,0,8,0,4,0,4
shop,com.example.shop.promo,Promotion,22,99,4,4,5,27,7,12,4,11
